Attraction,CityName,Country,AttractionType,VisitCount,AverageRating,RecommendationScore
Waterbom Bali,Douala,Malaysia,Water Parks,59,4.559322033898305,0.8330097087378641
Waterbom Bali,Douala,Ireland,Water Parks,35,4.771428571428571,0.832486930545183
Nusa Dua Beach,Douala,Australia,Beaches,560,4.25,0.830470500373413
Sacred Monkey Forest Sanctuary,Douala,New Zealand,Nature & Wildlife Areas,461,4.253796095444685,0.830470500373413
Ullen Sentalu Museum,N'Djamena,Indonesia,History Museums,299,4.297658862876254,0.8289768483943241
Tegalalang Rice Terrace,Douala,United States,Points of Interest & Landmarks,694,4.23342939481268,0.8285287528005975
Tanah Lot Temple,Douala,Malaysia,Religious Sites,160,4.34375,0.8285287528005973
Tegalalang Rice Terrace,Douala,United Kingdom,Points of Interest & Landmarks,767,4.215123859191656,0.8268857356235997
Jomblang Cave,N'Djamena,United States,Caverns & Caves,51,4.568627450980392,0.8268857356235997
Sacred Monkey Forest Sanctuary,Douala,Australia,Nature & Wildlife Areas,3128,4.201726342710997,0.8268857356235997
Sanur Beach,Douala,Indonesia,Beaches,313,4.271565495207668,0.8267363704256908
Tegalalang Rice Terrace,Douala,Australia,Points of Interest & Landmarks,1186,4.202360876897133,0.8258401792382375
Waterbom Bali,Douala,Egypt,Water Parks,27,4.814814814814815,0.8244212098581031
Tegalalang Rice Terrace,Douala,Indonesia,Points of Interest & Landmarks,364,4.241758241758242,0.8240477968633309
Sacred Monkey Forest Sanctuary,Douala,Hungary,Nature & Wildlife Areas,29,4.724137931034483,0.8199402539208365
Uluwatu Temple,Douala,United States,Religious Sites,320,4.228125,0.8182225541448842
Sacred Monkey Forest Sanctuary,Douala,Romania,Nature & Wildlife Areas,66,4.46969696969697,0.8163554891710232
Tanah Lot Temple,Douala,Australia,Religious Sites,763,4.173001310615989,0.8153846153846154
Sacred Monkey Forest Sanctuary,Douala,Greece,Nature & Wildlife Areas,45,4.511111111111111,0.8134428678117999
Uluwatu Temple,Douala,Australia,Religious Sites,688,4.167151162790698,0.8128454070201644
Uluwatu Temple,Douala,Singapore,Religious Sites,265,4.222641509433962,0.8117998506348021
Tegalalang Rice Terrace,Douala,United Arab Emirates,Points of Interest & Landmarks,76,4.394736842105263,0.8110530246452577
Nusa Dua Beach,Douala,China,Beaches,41,4.536585365853658,0.8110530246452576
Sacred Monkey Forest Sanctuary,Douala,United Arab Emirates,Nature & Wildlife Areas,173,4.2601156069364166,0.8103061986557132
Sacred Monkey Forest Sanctuary,Douala,Vietnam,Nature & Wildlife Areas,41,4.512195121951219,0.809260642270351
Tegalalang Rice Terrace,Douala,Canada,Points of Interest & Landmarks,222,4.2342342342342345,0.809111277072442
Bromo Tengger Semeru National Park,South Region,Singapore,National Parks,27,4.666666666666667,0.8070948469006722
Waterbom Bali,Douala,Philippines,Water Parks,25,4.68,0.8061986557132188
Waterbom Bali,Douala,Sri Lanka,Water Parks,23,4.739130434782608,0.8053024645257656
Tegalalang Rice Terrace,Douala,Germany,Points of Interest & Landmarks,105,4.314285714285714,0.8044809559372667
Sacred Monkey Forest Sanctuary,Douala,Georgia,Nature & Wildlife Areas,37,4.54054054054054,0.8044809559372665
Seminyak Beach,Douala,Indonesia,Beaches,169,4.236686390532545,0.8038088125466766
Tanah Lot Temple,Douala,United States,Religious Sites,294,4.1768707482993195,0.8036594473487678
Ramayana Ballet at Prambanan,N'Djamena,Indonesia,Ballets,55,4.418181818181818,0.8019417475728157
Waterbom Bali,Douala,France,Water Parks,21,4.714285714285714,0.8007468259895444
Sacred Monkey Forest Sanctuary,Douala,Qatar,Nature & Wildlife Areas,47,4.48936170212766,0.7997759522031367
Nusa Dua Beach,Douala,United States,Beaches,159,4.226415094339623,0.7991038088125467
Sanur Beach,Douala,Australia,Beaches,1121,4.090990187332738,0.7985063480209111
Tegalalang Rice Terrace,Douala,Romania,Points of Interest & Landmarks,33,4.545454545454546,0.7985063480209111
Merapi Volcano,N'Djamena,United States,Volcanos,618,4.106796116504855,0.7980582524271844
Nusa Dua Beach,Douala,Canada,Beaches,52,4.403846153846154,0.7973861090365945
Sacred Monkey Forest Sanctuary,Douala,Austria,Nature & Wildlife Areas,30,4.566666666666666,0.7965646004480956
Waterbom Bali,Douala,Germany,Water Parks,26,4.615384615384615,0.7963405526512323
Ramayana Ballet at Prambanan,N'Djamena,United Kingdom,Ballets,60,4.35,0.7962658700522778
Sacred Monkey Forest Sanctuary,Douala,China,Nature & Wildlife Areas,150,4.206666666666667,0.7953696788648245
Sacred Monkey Forest Sanctuary,Douala,South Africa,Nature & Wildlife Areas,169,4.195266272189349,0.79395070948469
Sacred Monkey Forest Sanctuary,Douala,Italy,Nature & Wildlife Areas,104,4.240384615384615,0.7932785660941001
Ullen Sentalu Museum,N'Djamena,United Kingdom,History Museums,89,4.258426966292135,0.7920089619118745
Merapi Volcano,N'Djamena,Indonesia,Volcanos,381,4.10498687664042,0.79193427931292
Ramayana Ballet at Prambanan,N'Djamena,Singapore,Ballets,42,4.4523809523809526,0.791411501120239
Uluwatu Temple,Douala,Bangladesh,Religious Sites,26,4.576923076923077,0.7908140403286035
Sacred Monkey Forest Sanctuary,Douala,Ireland,Nature & Wildlife Areas,73,4.315068493150685,0.7904406273338311
Sacred Monkey Forest Sanctuary,Douala,Japan,Nature & Wildlife Areas,70,4.328571428571428,0.7895444361463778
Merapi Volcano,N'Djamena,Poland,Volcanos,146,4.191780821917808,0.789395070948469
Malioboro Road,N'Djamena,Indonesia,Flea & Street Markets,294,4.115646258503402,0.7881254667662435
Tanah Lot Temple,Douala,Singapore,Religious Sites,212,4.150943396226415,0.7876026885735623
Nusa Dua Beach,Douala,Thailand,Beaches,24,4.583333333333333,0.7861090365944736
Sacred Monkey Forest Sanctuary,Douala,Sweden,Nature & Wildlife Areas,95,4.221052631578948,0.7859596713965646
Waterbom Bali,Douala,Switzerland,Water Parks,21,4.619047619047619,0.785362210604929
Merapi Volcano,N'Djamena,United Kingdom,Volcanos,211,4.137440758293839,0.7847647498132935
Sacred Monkey Forest Sanctuary,Douala,Estonia,Nature & Wildlife Areas,20,4.65,0.7842419716206124
Sacred Monkey Forest Sanctuary,Douala,Switzerland,Nature & Wildlife Areas,92,4.206521739130435,0.7831964152352502
Sacred Monkey Forest Sanctuary,Douala,Philippines,Nature & Wildlife Areas,90,4.211111111111111,0.7829723674383868
Tanah Lot Temple,Douala,United Kingdom,Religious Sites,304,4.078947368421052,0.782823002240478
Sacred Monkey Forest Sanctuary,Douala,India,Nature & Wildlife Areas,389,4.046272493573265,0.7827483196415236
Sacred Monkey Forest Sanctuary,Douala,Thailand,Nature & Wildlife Areas,116,4.189655172413793,0.7825242718446601
Ullen Sentalu Museum,N'Djamena,Singapore,History Museums,103,4.194174757281553,0.7815533980582524
Sacred Monkey Forest Sanctuary,Douala,Norway,Nature & Wildlife Areas,60,4.316666666666666,0.7813293502613892
Bromo Tengger Semeru National Park,South Region,United Kingdom,National Parks,25,4.52,0.7812546676624346
Bromo Tengger Semeru National Park,South Region,Malaysia,National Parks,25,4.52,0.7812546676624346
Sacred Monkey Forest Sanctuary,Douala,Mexico,Nature & Wildlife Areas,36,4.472222222222222,0.7811053024645258
Merapi Volcano,N'Djamena,Singapore,Volcanos,326,4.04601226993865,0.7804331590739357
Sacred Monkey Forest Sanctuary,Douala,Spain,Nature & Wildlife Areas,114,4.175438596491228,0.779462285287528
Nusa Dua Beach,Douala,Germany,Beaches,20,4.6,0.7791635548917102
Uluwatu Temple,Douala,United Kingdom,Religious Sites,273,4.08058608058608,0.7790888722927558
Waterbom Bali,Douala,Japan,Water Parks,18,4.666666666666667,0.7786407766990291
Tanah Lot Temple,Douala,Romania,Religious Sites,18,4.666666666666667,0.7786407766990291
Uluwatu Temple,Douala,Philippines,Religious Sites,63,4.26984126984127,0.7782673637042569
Sacred Monkey Forest Sanctuary,Douala,Cyprus,Nature & Wildlife Areas,21,4.571428571428571,0.7780433159073936
Tegalalang Rice Terrace,Douala,Italy,Points of Interest & Landmarks,37,4.405405405405405,0.7772964899178492
Sacred Monkey Forest Sanctuary,Douala,Germany,Nature & Wildlife Areas,187,4.117647058823529,0.7772218073188947
Tegalalang Rice Terrace,Douala,Croatia,Points of Interest & Landmarks,11,5.0,0.7769977595220314
Seminyak Beach,Douala,India,Beaches,189,4.111111111111111,0.7766990291262136
Bromo Tengger Semeru National Park,South Region,Australia,National Parks,15,4.8,0.776250933532487
Sacred Monkey Forest Sanctuary,Douala,Portugal,Nature & Wildlife Areas,53,4.320754716981132,0.7760268857356236
Tegalalang Rice Terrace,Douala,South Africa,Points of Interest & Landmarks,88,4.193181818181818,0.7751306945481702
Tegalalang Rice Terrace,Douala,India,Points of Interest & Landmarks,284,4.03169014084507,0.7737117251680359
Ullen Sentalu Museum,N'Djamena,Georgia,History Museums,61,4.245901639344262,0.7717699775952204
Sewu Temple,N'Djamena,United Kingdom,Ancient Ruins,52,4.288461538461538,0.771396564600448
Sacred Monkey Forest Sanctuary,Douala,Lithuania,Nature & Wildlife Areas,19,4.578947368421052,0.7711725168035848
Sacred Monkey Forest Sanctuary,Douala,Netherlands,Nature & Wildlife Areas,251,4.031872509960159,0.770873786407767
Tegalalang Rice Terrace,Douala,China,Points of Interest & Landmarks,89,4.168539325842697,0.7707991038088126
Waterbom Bali,Douala,Saudi Arabia,Water Parks,18,4.611111111111111,0.7705750560119492
Waterbom Bali,Douala,Italy,Water Parks,14,4.857142857142857,0.7703510082150858
Uluwatu Temple,Douala,Canada,Religious Sites,97,4.154639175257732,0.770201643017177
Tegalalang Rice Terrace,Douala,France,Points of Interest & Landmarks,79,4.189873417721519,0.7698282300224049
Waterbom Bali,Douala,Bangladesh,Water Parks,15,4.733333333333333,0.7693801344286781
Sacred Monkey Forest Sanctuary,Douala,France,Nature & Wildlife Areas,164,4.085365853658536,0.7677371172516804
Tegenungan Waterfall,Douala,India,Waterfalls,125,4.12,0.7677371172516804
Sacred Monkey Forest Sanctuary,Douala,Denmark,Nature & Wildlife Areas,77,4.181818181818182,0.7672890216579537
Waterbom Bali,Douala,China,Water Parks,47,4.297872340425532,0.7672143390589992
Sacred Monkey Forest Sanctuary,Douala,Bulgaria,Nature & Wildlife Areas,17,4.647058823529412,0.7662434652725916
Sacred Monkey Forest Sanctuary,Douala,Poland,Nature & Wildlife Areas,49,4.26530612244898,0.7662434652725915
Tegalalang Rice Terrace,Douala,Egypt,Points of Interest & Landmarks,30,4.4,0.7648991784914115
Waterbom Bali,Douala,United Arab Emirates,Water Parks,30,4.4,0.7648991784914115
Nusa Dua Beach,Douala,Singapore,Beaches,85,4.1647058823529415,0.7646751306945481
Ullen Sentalu Museum,N'Djamena,Poland,History Museums,77,4.1688311688311686,0.7646004480955937
Waterbom Bali,Douala,Iran,Water Parks,19,4.526315789473684,0.7640029873039582
Sacred Monkey Forest Sanctuary,Douala,Russia,Nature & Wildlife Areas,27,4.407407407407407,0.7619865571321882
Malioboro Road,N'Djamena,Malaysia,Flea & Street Markets,114,4.0964912280701755,0.7615384615384615
Ratu Boko Temple,N'Djamena,Indonesia,Ancient Ruins,62,4.193548387096774,0.7604182225541448
Sacred Monkey Forest Sanctuary,Douala,Iceland,Nature & Wildlife Areas,15,4.666666666666667,0.7598207617625093
Seminyak Beach,Douala,France,Beaches,17,4.588235294117647,0.7593726661687827
Merapi Volcano,N'Djamena,Georgia,Volcanos,127,4.070866141732283,0.7580283793876026
Sacred Monkey Forest Sanctuary,Douala,Saudi Arabia,Nature & Wildlife Areas,36,4.333333333333333,0.7578043315907393
Tegenungan Waterfall,Douala,Indonesia,Waterfalls,130,4.061538461538461,0.7574309185959671
Tanah Lot Temple,Douala,United Arab Emirates,Religious Sites,46,4.239130434782608,0.7551157580283794
Tegalalang Rice Terrace,Douala,Netherlands,Points of Interest & Landmarks,136,4.029411764705882,0.7547423450336072
Sempu Island,South Region,Indonesia,Nature & Wildlife Areas,39,4.282051282051282,0.7536221060492905
Sacred Monkey Forest Sanctuary,Douala,Brazil,Nature & Wildlife Areas,48,4.208333333333333,0.7533233756534726
Uluwatu Temple,Douala,China,Religious Sites,58,4.172413793103448,0.7519044062733383
Ullen Sentalu Museum,N'Djamena,Malaysia,History Museums,76,4.118421052631579,0.7513069454817028
Sacred Monkey Forest Sanctuary,Douala,Slovakia,Nature & Wildlife Areas,17,4.529411764705882,0.7513069454817027
Waterbom Bali,Douala,Spain,Water Parks,15,4.6,0.7502613890963405
Uluwatu Temple,Douala,Brazil,Religious Sites,18,4.5,0.7489171023151606
Tanah Lot Temple,Douala,Bangladesh,Religious Sites,20,4.45,0.7480955937266617
Merapi Volcano,N'Djamena,India,Volcanos,57,4.157894736842105,0.746303211351755
Jomblang Cave,N'Djamena,Indonesia,Caverns & Caves,14,4.642857142857143,0.7460044809559372
Nusa Dua Beach,Douala,New Zealand,Beaches,47,4.191489361702128,0.7452576549663927
Uluwatu Temple,Douala,United Arab Emirates,Religious Sites,47,4.191489361702128,0.7452576549663927
Sacred Monkey Forest Sanctuary,Douala,Belgium,Nature & Wildlife Areas,92,4.021739130434782,0.744958924570575
Sacred Monkey Forest Sanctuary,Douala,Czech Republic,Nature & Wildlife Areas,37,4.243243243243243,0.7432412247946227
Sewu Temple,N'Djamena,United States,Ancient Ruins,65,4.107692307692307,0.7428678117998506
Uluwatu Temple,Douala,Japan,Religious Sites,22,4.363636363636363,0.7416728902165796
Tegalalang Rice Terrace,Douala,Switzerland,Points of Interest & Landmarks,49,4.163265306122449,0.7408513816280806
Ramayana Ballet at Prambanan,N'Djamena,Georgia,Ballets,19,4.421052631578948,0.7404032860343539
Sacred Monkey Forest Sanctuary,Douala,South Korea,Nature & Wildlife Areas,42,4.190476190476191,0.7385362210604929
Tanah Lot Temple,Douala,China,Religious Sites,53,4.132075471698113,0.738386855862584
Sacred Monkey Forest Sanctuary,Douala,Slovenia,Nature & Wildlife Areas,18,4.444444444444445,0.7372666168782673
Nusa Dua Beach,Douala,Malaysia,Beaches,60,4.1,0.7369678864824496
Jomblang Cave,N'Djamena,Poland,Caverns & Caves,14,4.571428571428571,0.7365944734876774
Tanah Lot Temple,Douala,Turkey,Religious Sites,14,4.571428571428571,0.7365944734876774
Sanur Beach,Douala,India,Beaches,77,4.025974025974026,0.7365197908887229
Uluwatu Temple,Douala,New Zealand,Religious Sites,71,4.042253521126761,0.7354742345033607
Sacred Monkey Forest Sanctuary,Douala,Croatia,Nature & Wildlife Areas,13,4.615384615384615,0.7353995519044063
Tegalalang Rice Terrace,Douala,Greece,Points of Interest & Landmarks,17,4.470588235294118,0.7321882001493651
Sewu Temple,N'Djamena,Indonesia,Ancient Ruins,40,4.175,0.7318894697535473
Tegalalang Rice Terrace,Douala,Turkey,Points of Interest & Landmarks,27,4.2592592592592595,0.7309185959671396
Sacred Monkey Forest Sanctuary,Douala,Finland,Nature & Wildlife Areas,66,4.03030303030303,0.7306198655713219
Tegalalang Rice Terrace,Douala,Poland,Points of Interest & Landmarks,30,4.233333333333333,0.729648991784914
Goa Cina Beach,South Region,Indonesia,Beaches,46,4.130434782608695,0.7291262135922331
Tegalalang Rice Terrace,Douala,Japan,Points of Interest & Landmarks,34,4.205882352941177,0.729126213592233
Waterbom Bali,Douala,Thailand,Water Parks,25,4.28,0.7282300224047796
Uluwatu Temple,Douala,Spain,Religious Sites,17,4.411764705882353,0.7265123226288275
Mount Semeru Volcano,South Region,Singapore,Volcanos,7,5.0,0.7259148618371919
Tegalalang Rice Terrace,Douala,Serbia,Points of Interest & Landmarks,7,5.0,0.7259148618371919
Tegalalang Rice Terrace,Douala,Bulgaria,Points of Interest & Landmarks,13,4.538461538461538,0.7241971620612397
Tegalalang Rice Terrace,Douala,Portugal,Points of Interest & Landmarks,28,4.214285714285714,0.7233756534727409
Uluwatu Temple,Douala,Vietnam,Religious Sites,12,4.583333333333333,0.7227035100821508
Uluwatu Temple,Douala,Finland,Religious Sites,12,4.583333333333333,0.7227035100821508
Ratu Boko Temple,N'Djamena,Singapore,Ancient Ruins,27,4.222222222222222,0.7222554144884241
Sewu Temple,N'Djamena,Singapore,Ancient Ruins,57,4.017543859649122,0.7218073188946975
Tanah Lot Temple,Douala,Thailand,Religious Sites,37,4.162162162162162,0.721732636295743
Sacred Monkey Forest Sanctuary,Douala,Serbia,Nature & Wildlife Areas,10,4.7,0.7205377147124721
Uluwatu Temple,Douala,Norway,Religious Sites,10,4.7,0.7205377147124721
Waterbom Bali,Douala,Austria,Water Parks,10,4.7,0.7205377147124721
Sacred Monkey Forest Sanctuary,Douala,Egypt,Nature & Wildlife Areas,40,4.125,0.7205377147124719
Sanur Beach,Douala,South Africa,Beaches,36,4.166666666666667,0.7203136669156086
Jomblang Cave,N'Djamena,Singapore,Caverns & Caves,21,4.285714285714286,0.7199402539208364
Sacred Monkey Forest Sanctuary,Douala,Israel,Nature & Wildlife Areas,11,4.636363636363637,0.7194921583271098
Waterbom Bali,Douala,Poland,Water Parks,9,4.777777777777778,0.7194174757281553
Tegalalang Rice Terrace,Douala,Estonia,Points of Interest & Landmarks,9,4.777777777777778,0.7194174757281553
Tegenungan Waterfall,Douala,United Kingdom,Waterfalls,389,3.943444730077121,0.7185212845407021
Waterbom Bali,Douala,Vietnam,Water Parks,20,4.3,0.718521284540702
Tegenungan Waterfall,Douala,Australia,Waterfalls,495,3.9171717171717173,0.7178491411501121
Sanur Beach,Douala,United Kingdom,Beaches,424,3.919811320754717,0.7166542195668408
Sacred Monkey Forest Sanctuary,Douala,Singapore,Nature & Wildlife Areas,324,3.9290123456790123,0.713965646004481
Sewu Temple,N'Djamena,Georgia,Ancient Ruins,27,4.185185185185185,0.7129947722180732
Sanur Beach,Douala,New Zealand,Beaches,88,4.0,0.7125466766243465
Tegenungan Waterfall,Douala,Egypt,Waterfalls,15,4.4,0.7120238984316654
Uluwatu Temple,Douala,Romania,Religious Sites,15,4.4,0.7120238984316654
Tanah Lot Temple,Douala,Philippines,Religious Sites,41,4.073170731707317,0.7115758028379388
Sacred Monkey Forest Sanctuary,Douala,Taiwan,Nature & Wildlife Areas,21,4.238095238095238,0.7115758028379386
Tegalalang Rice Terrace,Douala,Singapore,Points of Interest & Landmarks,298,3.9295302013422817,0.711127707244212
Bromo Tengger Semeru National Park,South Region,Thailand,National Parks,8,4.875,0.7103061986557133
Kuta Beach - Bali,Douala,India,Beaches,275,3.930909090909091,0.7091859596713965
Nusa Dua Beach,Douala,Cyprus,Beaches,14,4.428571428571429,0.7085138162808065
Ramayana Ballet at Prambanan,N'Djamena,Poland,Ballets,11,4.545454545454546,0.7070948469006721
Sacred Monkey Forest Sanctuary,Douala,Costa Rica,Nature & Wildlife Areas,11,4.545454545454546,0.7070948469006721
Waterbom Bali,Douala,Belgium,Water Parks,11,4.545454545454546,0.7070948469006721
Nusa Dua Beach,Douala,South Africa,Beaches,34,4.117647058823529,0.7068707991038088
Tanah Lot Temple,Douala,Germany,Religious Sites,40,4.05,0.7061986557132187
Kalibiru National Park,N'Djamena,Indonesia,National Parks,37,4.081081081081081,0.705899925317401
Merapi Volcano,N'Djamena,Malaysia,Volcanos,203,3.9704433497536944,0.7051530993278565
Uluwatu Temple,Douala,Greece,Religious Sites,10,4.6,0.7050037341299478
Tegalalang Rice Terrace,Douala,Slovakia,Points of Interest & Landmarks,10,4.6,0.7050037341299478
Waterbom Bali,Douala,Sweden,Water Parks,18,4.277777777777778,0.7048543689320388
Nusa Dua Beach,Douala,Czech Republic,Beaches,6,5.0,0.7044062733383122
Waterbom Bali,Douala,Malta,Water Parks,6,5.0,0.7044062733383122
Sacred Monkey Forest Sanctuary,Douala,Ukraine,Nature & Wildlife Areas,9,4.666666666666667,0.70403286034354
Uluwatu Temple,Douala,Russia,Religious Sites,9,4.666666666666667,0.70403286034354
Sewu Temple,N'Djamena,Australia,Ancient Ruins,13,4.461538461538462,0.7031366691560866
Sacred Monkey Forest Sanctuary,Douala,Lebanon,Nature & Wildlife Areas,13,4.461538461538462,0.7031366691560866
Sacred Monkey Forest Sanctuary,Douala,Jordan,Nature & Wildlife Areas,17,4.294117647058823,0.6996265870052278
Tegenungan Waterfall,Douala,United States,Waterfalls,233,3.871244635193133,0.6996265870052277
Tegalalang Rice Terrace,Douala,Malaysia,Points of Interest & Landmarks,170,3.9411764705882355,0.6987303958177744
Sacred Monkey Forest Sanctuary,Douala,Oman,Nature & Wildlife Areas,15,4.333333333333333,0.69798356982823
Sanur Beach,Douala,China,Beaches,28,4.107142857142857,0.6975354742345033
Waterbom Bali,Douala,Qatar,Water Parks,14,4.357142857142857,0.69731142643764
Tegalalang Rice Terrace,Douala,New Zealand,Points of Interest & Landmarks,139,3.964028776978417,0.6960418222554146
Malioboro Road,N'Djamena,United States,Flea & Street Markets,256,3.81640625,0.6951456310679611
Uluwatu Temple,Douala,Italy,Religious Sites,32,4.0625,0.6949215832710978
Seminyak Beach,Douala,Australia,Beaches,946,3.692389006342495,0.6943988050784167
Seminyak Beach,Douala,Singapore,Beaches,147,3.931972789115646,0.6942494398805079
Uluwatu Temple,Douala,France,Religious Sites,18,4.222222222222222,0.6938013442867812
Seminyak Beach,Douala,United Kingdom,Beaches,433,3.741339491916859,0.6938013442867812
Kuta Beach - Bali,Douala,Indonesia,Beaches,274,3.7992700729927007,0.6935026138909633
Uluwatu Temple,Douala,Sri Lanka,Religious Sites,7,4.857142857142857,0.6930545182972367
Ullen Sentalu Museum,N'Djamena,Australia,History Museums,13,4.384615384615385,0.6920836445108289
Sacred Monkey Forest Sanctuary,Douala,Bangladesh,Nature & Wildlife Areas,13,4.384615384615385,0.6920836445108289
Water Castle (Tamansari),N'Djamena,Indonesia,Points of Interest & Landmarks,56,4.0,0.6919342793129201
Uluwatu Temple,Douala,Saudi Arabia,Religious Sites,12,4.416666666666667,0.690739357729649
Sanur Beach,Douala,United States,Beaches,227,3.801762114537445,0.6906646751306945
Tegalalang Rice Terrace,Douala,Ireland,Points of Interest & Landmarks,24,4.125,0.6905153099327856
Sacred Monkey Forest Sanctuary,Douala,Malaysia,Nature & Wildlife Areas,134,3.917910447761194,0.6894697535474235
Tegenungan Waterfall,Douala,Thailand,Waterfalls,17,4.235294117647059,0.6891710231516057
Tanah Lot Temple,Douala,Sweden,Religious Sites,17,4.235294117647059,0.6891710231516057
Sanur Beach,Douala,Japan,Beaches,17,4.235294117647059,0.6891710231516057
Ramayana Ballet at Prambanan,N'Djamena,United States,Ballets,110,3.9363636363636365,0.6872292755787901
Sacred Monkey Forest Sanctuary,Douala,Argentina,Nature & Wildlife Areas,9,4.555555555555555,0.6871545929798357
Uluwatu Temple,Douala,Turkey,Religious Sites,9,4.555555555555555,0.6871545929798357
Tegalalang Rice Terrace,Douala,Georgia,Points of Interest & Landmarks,16,4.25,0.6870799103808812
Tanah Lot Temple,Douala,New Zealand,Religious Sites,90,3.988888888888889,0.6864824495892458
Malioboro Road,N'Djamena,United Kingdom,Flea & Street Markets,143,3.86013986013986,0.6853622106049291
Tegalalang Rice Terrace,Douala,Czech Republic,Points of Interest & Landmarks,20,4.15,0.6852128454070201
Tegalalang Rice Terrace,Douala,Brazil,Points of Interest & Landmarks,20,4.15,0.6852128454070201
Jomblang Cave,N'Djamena,United Kingdom,Caverns & Caves,10,4.5,0.684839432412248
Waterbom Bali,Douala,Denmark,Water Parks,15,4.266666666666667,0.6845407020164301
Jomblang Cave,N'Djamena,Georgia,Caverns & Caves,8,4.625,0.6841672890216579
Waterbom Bali,Douala,Kuwait,Water Parks,8,4.625,0.6841672890216579
Nusa Dua Beach,Douala,Sri Lanka,Beaches,8,4.625,0.6841672890216579
Merapi Volcano,N'Djamena,Saudi Arabia,Volcanos,8,4.625,0.6841672890216579
Tegenungan Waterfall,Douala,Germany,Waterfalls,27,4.037037037037037,0.6831217326362957
Tegenungan Waterfall,Douala,Singapore,Waterfalls,86,3.9651162790697674,0.6820014936519792
Uluwatu Temple,Douala,Estonia,Religious Sites,7,4.714285714285714,0.682001493651979
Tanah Lot Temple,Douala,Slovenia,Religious Sites,7,4.714285714285714,0.682001493651979
Nusa Dua Beach,Douala,Taiwan,Beaches,7,4.714285714285714,0.682001493651979
Sacred Monkey Forest Sanctuary,Douala,Luxembourg,Nature & Wildlife Areas,7,4.714285714285714,0.682001493651979
Sacred Monkey Forest Sanctuary,Douala,Maldives,Nature & Wildlife Areas,7,4.714285714285714,0.682001493651979
Tanah Lot Temple,Douala,Canada,Religious Sites,85,3.988235294117647,0.6819268110530246
Sacred Monkey Forest Sanctuary,Douala,East Timor,Nature & Wildlife Areas,5,5.0,0.6817774458551158
Bromo Tengger Semeru National Park,South Region,United States,National Parks,5,5.0,0.6817774458551158
Tegalalang Rice Terrace,Douala,Ukraine,Points of Interest & Landmarks,5,5.0,0.6817774458551158
Yogyakarta Palace,N'Djamena,Nepal,Historic Sites,5,5.0,0.6817774458551158
Sewu Temple,N'Djamena,Poland,Ancient Ruins,26,4.038461538461538,0.6802837938760269
Sanur Beach,Douala,Canada,Beaches,90,3.9,0.6784167289021659
Tegalalang Rice Terrace,Douala,Mexico,Points of Interest & Landmarks,21,4.095238095238095,0.677968633308439
Merapi Volcano,N'Djamena,Germany,Volcanos,21,4.095238095238095,0.677968633308439
